PROBEID	SYMBOL	logFC	P.Value	adj.P.Val
214752_x_at	FLNA	2.20326183	1.99E-32	7.49E-30
231170_at	CDKL5	-2.366032252	2.05E-32	7.68E-30
238100_at	AAK1	-2.154834754	2.11E-32	7.83E-30
220887_at	CCDC177	-1.263953785	2.24E-32	8.28E-30
206888_s_at	ARHGDIG	-2.427630492	2.31E-32	8.47E-30
206381_at	SCN2A	-2.58069199	2.68E-32	9.74E-30
216306_x_at	PTBP1	2.011977038	2.70E-32	9.75E-30
212533_at	WEE1	3.298915598	2.73E-32	9.81E-30
227702_at	CYP4X1	-3.136746275	2.76E-32	9.85E-30
210247_at	SYN2	-2.97331473	2.86E-32	1.02E-29
208359_s_at	KCNJ4	-3.015213966	3.40E-32	1.18E-29
204287_at	SYNGR1	-2.21732775	3.41E-32	1.18E-29
204375_at	CLSTN3	-1.443701364	3.50E-32	1.20E-29
236234_at	PDE1A	-3.956566338	3.50E-32	1.20E-29
228715_at	ZCCHC12	-2.289623542	4.01E-32	1.37E-29
204974_at	RAB3A	-2.732927927	4.28E-32	1.45E-29
230100_x_at	PAK1	-2.888433639	4.75E-32	1.60E-29
243998_at	KRT222	-2.738069478	4.83E-32	1.61E-29
206690_at	ASIC2	-1.474948379	4.91E-32	1.63E-29
203158_s_at	GLS	-2.359576662	4.92E-32	1.63E-29
213967_at	RALYL	-3.259472236	5.03E-32	1.65E-29
239765_at	CPEB3	-4.03317601	5.96E-32	1.94E-29
229300_at	RAB3C	-3.747671433	6.47E-32	2.10E-29
240532_at	SLC32A1	-2.424478514	7.46E-32	2.40E-29
214788_x_at	DDN	-2.908453355	7.77E-32	2.49E-29
215531_s_at	GABRA5	-2.792158028	8.25E-32	2.62E-29
207548_at	GRM7	-1.486782476	1.10E-31	3.49E-29
1558293_at	BTBD8	-2.754657222	1.27E-31	4.00E-29
44040_at	FBXO41	-1.958332382	1.32E-31	4.10E-29
212015_x_at	PTBP1	1.696738521	1.32E-31	4.10E-29
213200_at	SYP	-2.032207126	1.33E-31	4.11E-29
224733_at	CMTM3	2.126767658	1.50E-31	4.59E-29
230482_at	ST6GALNAC5	-1.787190868	1.50E-31	4.59E-29
242301_at	CBLN2	-2.379598564	1.63E-31	4.94E-29
213746_s_at	FLNA	2.481854177	1.69E-31	5.09E-29
229714_at	HS6ST3	-2.507001666	1.71E-31	5.12E-29
235070_at	RBFOX1	-2.37871188	1.73E-31	5.15E-29
241399_at	TAFA2	-3.308790798	1.81E-31	5.36E-29
235935_at	LRRC73	-1.607611413	1.91E-31	5.63E-29
208813_at	GOT1	-2.177208285	1.96E-31	5.74E-29
226507_at	PAK1	-2.294045244	2.01E-31	5.86E-29
220551_at	SLC17A6	-3.484190387	2.09E-31	6.04E-29
223612_s_at	LNX1	-2.014572659	2.10E-31	6.04E-29
214098_at	BTBD8	-3.631050417	2.11E-31	6.04E-29
1553264_a_at	SYN1	-2.310781537	2.11E-31	6.04E-29
206280_at	CDH18	-3.051066877	2.18E-31	6.19E-29
215423_at	MARCHF6	-1.453722056	2.45E-31	6.92E-29
206162_x_at	SYT5	-1.778310333	2.47E-31	6.94E-29
243163_at	HECW1	-2.516023991	2.62E-31	7.33E-29
203157_s_at	GLS	-2.585730811	2.66E-31	7.36E-29
204729_s_at	STX1A	-2.37648699	2.66E-31	7.36E-29
205923_at	RELN	-1.704899601	2.88E-31	7.93E-29
213307_at	SHANK2	-2.911213343	3.06E-31	8.34E-29
205551_at	SV2B	-3.985874048	3.15E-31	8.55E-29
243904_at	STXBP5	-2.465854261	3.23E-31	8.73E-29
214735_at	IPCEF1	-2.814454149	3.39E-31	9.09E-29
213399_x_at	RPN2	1.650907805	3.40E-31	9.09E-29
205952_at	KCNK3	-1.778053756	3.44E-31	9.13E-29
213921_at	SST	-4.068801966	3.45E-31	9.13E-29
233437_at	GABRA4	-3.347109188	3.49E-31	9.17E-29
213965_s_at	CHD5	-2.362743325	3.64E-31	9.52E-29
211964_at	COL4A2	3.125694293	3.76E-31	9.80E-29
205635_at	KALRN	-3.435999415	3.87E-31	1.00E-28
214811_at	RIMBP2	-3.316891466	3.95E-31	1.02E-28
236195_x_at	PRKCG	-1.956300716	4.13E-31	1.06E-28
227453_at	UNC13A	-1.899175378	4.19E-31	1.07E-28
211546_x_at	SNCA	-1.736000014	4.27E-31	1.08E-28
222091_at	HPCAL4	-1.875791392	4.27E-31	1.08E-28
239352_at	SLC6A15	-1.836935418	4.79E-31	1.21E-28
229065_at	SLC35F3	-2.412446779	4.81E-31	1.21E-28
1560648_s_at	TSPYL1	-2.297540958	4.94E-31	1.23E-28
209108_at	TSPAN6	2.03593633	4.97E-31	1.23E-28
214495_at	CACNG2	-1.336150163	5.00E-31	1.24E-28
242999_at	ARHGEF7	-3.076942795	5.08E-31	1.25E-28
226618_at	UBE2QL1	-3.139235683	5.12E-31	1.25E-28
220030_at	STYK1	-2.637911545	5.44E-31	1.33E-28
228509_at	SPHKAP	-2.301000074	5.51E-31	1.34E-28
217762_s_at	RAB31	1.4776215	5.59E-31	1.35E-28
228414_at	KCNMA1	-3.239760018	5.60E-31	1.35E-28
229160_at	PWWP3B	-2.821221582	5.73E-31	1.37E-28
218618_s_at	FNDC3B	2.453366108	5.91E-31	1.40E-28
241398_at	MPPED1	-1.599104183	5.92E-31	1.40E-28
211271_x_at	PTBP1	1.681959915	5.93E-31	1.40E-28
231395_at	ATP8A2	-2.086916191	6.00E-31	1.41E-28
229032_at	WSCD2	-1.29015684	6.10E-31	1.43E-28
232027_at	SYNE1	-2.642573833	6.88E-31	1.60E-28
238862_at	SLC60A1	-2.772525173	7.59E-31	1.76E-28
203505_at	ABCA1	2.132669146	7.64E-31	1.76E-28
232305_at	HMGCLL1	-2.710926539	8.24E-31	1.90E-28
238206_at	RXFP1	-2.570169493	9.89E-31	2.25E-28
229118_at	PRRG3	-2.21207096	1.01E-30	2.28E-28
212976_at	LRRC8B	-2.930378685	1.03E-30	2.34E-28
219259_at	SEMA4A	-1.227696466	1.08E-30	2.44E-28
227817_at	PRKCB	-2.716281477	1.19E-30	2.67E-28
232735_at	ANKRD34A	-1.458541797	1.21E-30	2.70E-28
233234_at	KCTD16	-1.511989339	1.21E-30	2.70E-28
206213_at	WNT10B	-1.147070891	1.27E-30	2.81E-28
1552689_at	CASKIN1	-1.953337179	1.33E-30	2.93E-28
1556047_s_at	MAGEE1	-2.333407788	1.38E-30	3.04E-28
226973_at	VSTM2L	-2.28197784	1.40E-30	3.06E-28
201180_s_at	GNAI3	1.682114471	1.41E-30	3.06E-28
230447_at	FAXC	-2.314657771	1.63E-30	3.52E-28
219884_at	LHX6	-1.265879457	1.63E-30	3.52E-28
230238_at	SOWAHA	-3.314386166	1.65E-30	3.55E-28
221901_at	SHISAL1	-1.582751492	1.73E-30	3.70E-28
207853_s_at	SNCB	-2.817815575	1.74E-30	3.72E-28
232010_at	FSTL5	-3.267123824	1.75E-30	3.73E-28
239293_at	NRSN1	-2.695682765	1.76E-30	3.73E-28
40472_at	LPCAT4	-1.593611998	1.80E-30	3.79E-28
230154_at	WAC	-2.278720169	1.80E-30	3.79E-28
204546_at	KIAA0513	-2.501368078	1.84E-30	3.85E-28
230010_at	SRRM4	-1.929546588	1.85E-30	3.86E-28
215056_at	PGBD5	-2.502251068	1.87E-30	3.88E-28
201587_s_at	IRAK1	1.516899011	2.00E-30	4.14E-28
213678_at	TMEM151B	-1.381470267	2.14E-30	4.40E-28
217128_s_at	CAMK1G	-1.154048061	2.15E-30	4.40E-28
230076_at	PITPNM3	-2.723624596	2.29E-30	4.68E-28
211980_at	COL4A1	3.197146132	2.33E-30	4.74E-28
220166_at	CNNM1	-1.568738483	2.44E-30	4.95E-28
244680_at	GLRB	-2.356497289	2.49E-30	5.03E-28
219671_at	HPCAL4	-3.563123086	2.54E-30	5.11E-28
233059_at	KCNJ3	-3.488453418	2.73E-30	5.48E-28
232416_at	CELF5	-2.2668571	3.12E-30	6.23E-28
1552722_at	ARPP21	-2.118268218	3.26E-30	6.49E-28
205454_at	HPCA	-2.449479823	3.30E-30	6.54E-28
213558_at	PCLO	-3.540325851	3.32E-30	6.55E-28
232173_at	CLEC2L	-1.278981806	3.39E-30	6.67E-28
207142_at	KCNJ3	-1.480164892	3.49E-30	6.84E-28
214376_at	MAPK10	-2.454893424	3.65E-30	7.12E-28
205325_at	PHYHIP	-3.028071839	3.77E-30	7.34E-28
218546_at	C1orf115	-3.334113575	3.80E-30	7.37E-28
212701_at	TLN2	-1.441670443	3.88E-30	7.49E-28
216005_at	TNC	3.010805813	3.97E-30	7.65E-28
225531_at	CABLES1	-1.273817298	4.18E-30	8.03E-28
222570_at	NCS1	-2.069475559	4.23E-30	8.08E-28
230973_at	SH2D5	-1.597506689	4.26E-30	8.11E-28
214722_at	NOTCH2NLA	1.983363732	4.37E-30	8.30E-28
241805_at	GABRG1	-2.94091413	4.42E-30	8.35E-28
231804_at	RXFP1	-2.322375087	4.44E-30	8.35E-28
207772_s_at	PRMT8	-1.709191803	4.45E-30	8.35E-28
222729_at	FBXW7	-1.833619069	4.66E-30	8.71E-28
216307_at	DGKB	-2.490156747	4.93E-30	9.19E-28
213491_x_at	RPN2	1.559968545	5.05E-30	9.38E-28
225066_at	PPP2R2D	-1.450513603	5.11E-30	9.47E-28
213308_at	SHANK2	-3.185485069	5.20E-30	9.59E-28
206577_at	VIP	-1.994543526	5.41E-30	9.89E-28
214120_at	RFPL1S	-3.950421752	5.41E-30	9.89E-28
206731_at	CNKSR2	-2.630335527	5.59E-30	1.02E-27
237719_x_at	RGS7BP	-2.01418631	5.74E-30	1.04E-27
225634_at	ZC3HAV1	1.611022031	5.86E-30	1.06E-27
226959_at	CAMK1D	-1.973437479	6.01E-30	1.08E-27
235227_at	STXBP5	-3.113184732	6.02E-30	1.08E-27
237177_at	CNTN4	-1.346628585	6.18E-30	1.11E-27
213051_at	ZC3HAV1	1.775993268	6.33E-30	1.13E-27
209615_s_at	PAK1	-2.355095144	7.15E-30	1.27E-27
204339_s_at	RGS4	-2.967154036	8.49E-30	1.50E-27
206906_at	ICAM5	-2.307673567	8.71E-30	1.54E-27
233471_at	PTPN5	-1.987596979	9.11E-30	1.60E-27
227864_s_at	MVB12A	1.663140879	9.35E-30	1.63E-27
213078_x_at	LPCAT4	-1.38989522	9.45E-30	1.65E-27
209109_s_at	TSPAN6	2.246629277	9.86E-30	1.71E-27
236456_at	PTPN5	-3.086256808	1.07E-29	1.85E-27
204743_at	TAGLN3	-2.616722252	1.08E-29	1.86E-27
210240_s_at	CDKN2D	-1.340498317	1.08E-29	1.86E-27
229254_at	SLC60A1	-3.489840646	1.13E-29	1.94E-27
226258_at	AMN1	-1.718889665	1.14E-29	1.94E-27
222953_at	GPR83	-2.142287102	1.15E-29	1.95E-27
232003_at	PNMA8B	-1.863731923	1.16E-29	1.96E-27
231935_at	ARPP21	-2.728933723	1.17E-29	1.97E-27
201012_at	ANXA1	3.745808839	1.18E-29	1.98E-27
241382_at	PCP4L1	-2.104150153	1.18E-29	1.98E-27
203402_at	KCNAB2	-2.137570391	1.24E-29	2.08E-27
213938_at	ERC2	-3.42015235	1.25E-29	2.10E-27
238021_s_at	CRNDE	4.214613335	1.30E-29	2.16E-27
215161_at	CAMK1G	-1.595343315	1.30E-29	2.16E-27
215543_s_at	LARGE1	-1.275830388	1.31E-29	2.18E-27
235468_at	RBFOX3	-3.643631555	1.39E-29	2.29E-27
239139_at	CPNE9	-1.073309275	1.41E-29	2.32E-27
231986_at	RIMS1	-2.760570414	1.42E-29	2.33E-27
224969_at	ATXN7L3	-0.788842846	1.43E-29	2.34E-27
203313_s_at	TGIF1	2.42780699	1.44E-29	2.34E-27
235228_at	CCDC85A	-2.665916597	1.50E-29	2.44E-27
205744_at	DOC2A	-1.697427281	1.54E-29	2.49E-27
215045_at	CELF3	-1.85724616	1.65E-29	2.66E-27
207729_at	CDH9	-1.813753087	1.68E-29	2.71E-27
213990_s_at	PAK5	-1.621116657	1.72E-29	2.76E-27
213744_at	ATRNL1	-2.608562785	1.73E-29	2.77E-27
205738_s_at	FABP3	-1.725156875	1.80E-29	2.86E-27
1568617_a_at	CAMSAP3	-1.480521059	1.91E-29	3.04E-27
230691_at	STX1B	-2.299519382	1.98E-29	3.14E-27
206376_at	SLC6A15	-2.266833865	2.07E-29	3.27E-27
217716_s_at	SEC61A1	1.548764097	2.13E-29	3.37E-27
237393_at	TPBGL	-0.930740656	2.29E-29	3.60E-27
200771_at	LAMC1	2.225658166	2.49E-29	3.91E-27
216264_s_at	LAMB2	1.967899685	2.50E-29	3.91E-27
206137_at	RIMS2	-1.766741754	2.58E-29	4.01E-27
207527_at	KCNJ9	-1.287504112	2.67E-29	4.14E-27
231220_at	CELF4	-3.355767454	2.67E-29	4.14E-27
238673_at	SAMD12	-3.37815593	2.79E-29	4.31E-27
209877_at	SNCG	-1.729600128	2.83E-29	4.37E-27
242036_x_at	ATP2B3	-1.480131141	3.04E-29	4.67E-27
206013_s_at	ACTL6B	-2.464243784	3.36E-29	5.15E-27
202432_at	PPP3CB	-2.223495411	3.52E-29	5.38E-27
238017_at	SDR16C5	-1.201218025	3.54E-29	5.39E-27
204338_s_at	RGS4	-3.456683928	3.74E-29	5.67E-27
227123_at	RAB3B	-1.862655124	3.98E-29	6.03E-27
212559_at	PRKAR1B	-2.192655738	4.32E-29	6.52E-27
227756_at	FAM81A	-1.413734353	4.35E-29	6.54E-27
59697_at	RAB15	-1.532090276	4.78E-29	7.18E-27
229419_at	FBXW7	-2.565706841	4.89E-29	7.32E-27
207557_s_at	RYR2	-1.844929729	4.92E-29	7.34E-27
235018_at	CSRNP3	-1.997891293	5.06E-29	7.53E-27
215280_s_at	PPFIA3	-1.338502097	5.12E-29	7.60E-27
202754_at	R3HDM1	-1.536751709	5.20E-29	7.69E-27
230255_at	GABRD	-2.234609318	5.41E-29	7.99E-27
202133_at	WWTR1	2.676965448	5.52E-29	8.12E-27
206253_at	DLG2	-1.845416921	5.58E-29	8.19E-27
225415_at	DTX3L	2.290218461	5.60E-29	8.19E-27
209651_at	TGFB1I1	2.669993938	5.63E-29	8.22E-27
221766_s_at	TENT5A	2.790403647	5.64E-29	8.22E-27
214285_at	FABP3	-1.462741093	5.66E-29	8.22E-27
204718_at	EPHB6	-2.520115936	5.87E-29	8.50E-27
50965_at	RAB26	-1.312107596	5.90E-29	8.52E-27
206017_at	KIAA0319	-1.840672596	6.28E-29	9.05E-27
220979_s_at	ST6GALNAC5	-3.188090901	6.36E-29	9.14E-27
210719_s_at	HMG20B	1.786505005	6.46E-29	9.25E-27
230849_at	KCNA1	-2.117509591	6.79E-29	9.70E-27
213927_at	MAP3K9	-2.530238202	7.07E-29	1.01E-26
202395_at	NSF	-2.220918965	7.34E-29	1.04E-26
213386_at	PGAP4	-2.459837384	7.46E-29	1.06E-26
49111_at	ARRB1	-1.603893509	7.97E-29	1.13E-26
201664_at	SMC4	2.821832555	8.04E-29	1.13E-26
219659_at	ATP8A2	-3.096362374	8.39E-29	1.18E-26
238426_at	TMEM130	-3.196244285	8.94E-29	1.25E-26
240236_at	STXBP5L	-2.747299895	9.48E-29	1.33E-26
215005_at	NECAB2	-1.399559241	9.71E-29	1.35E-26
205874_at	ITPKA	-2.117693975	1.09E-28	1.51E-26
214781_at	SHANK1	-2.356001367	1.09E-28	1.52E-26
228109_at	RASGRF2	-2.998448352	1.11E-28	1.54E-26
205489_at	CRYM	-2.924211557	1.12E-28	1.54E-26
203998_s_at	SYT1	-4.777032453	1.12E-28	1.55E-26
225739_at	RAB11FIP4	-1.630420279	1.13E-28	1.55E-26
1555250_a_at	CPEB3	-1.768056764	1.17E-28	1.60E-26
242571_at	REPS2	-2.434760721	1.19E-28	1.62E-26
229029_at	CAMK4	-2.495409557	1.20E-28	1.64E-26
243244_at	CACNB4	-1.578358252	1.26E-28	1.71E-26
205155_s_at	SPTBN2	-1.753468788	1.30E-28	1.77E-26
235486_at	KIAA1549L	-2.626556185	1.34E-28	1.81E-26
230839_at	PRMT8	-1.476165057	1.39E-28	1.88E-26
205948_at	PTPRT	-1.796773769	1.43E-28	1.93E-26
236151_at	SRRM4	-1.664985348	1.53E-28	2.06E-26
229286_at	MAGEE1	-1.441690609	1.54E-28	2.06E-26
221914_at	SYN1	-3.297461032	1.57E-28	2.09E-26
210078_s_at	KCNAB1	-3.043445624	1.58E-28	2.10E-26
218623_at	NSG2	-3.037208904	1.58E-28	2.10E-26
210347_s_at	BCL11A	-2.044823053	1.62E-28	2.14E-26
210408_s_at	CPNE6	-2.694524857	1.63E-28	2.15E-26
220188_at	JPH3	-1.62891408	1.71E-28	2.26E-26
241729_at	DOK6	-2.320370165	1.85E-28	2.43E-26
221945_at	FBXO41	-1.6320195	1.85E-28	2.43E-26
230262_at	ST8SIA3	-2.798816746	1.86E-28	2.44E-26
226086_at	SYT13	-3.571919333	1.88E-28	2.46E-26
230700_at	RTN4RL1	-1.680496612	1.90E-28	2.47E-26
222005_s_at	GNG3	-3.018346942	1.95E-28	2.53E-26
219896_at	CALY	-3.417416686	1.95E-28	2.53E-26
1553194_at	NEGR1	-1.871566488	2.24E-28	2.90E-26
238786_at	ANK3	-1.987106714	2.31E-28	2.97E-26
206215_at	OPCML	-1.626618183	2.33E-28	3.00E-26
217763_s_at	RAB31	1.599145215	2.41E-28	3.09E-26
221217_s_at	RBFOX1	-3.51266327	2.44E-28	3.13E-26
239787_at	KCTD4	-1.971054164	2.49E-28	3.18E-26
218657_at	RAPGEFL1	-1.739714436	2.50E-28	3.18E-26
210454_s_at	KCNJ6	-1.927410918	2.65E-28	3.37E-26
232401_at	KCNS2	-1.106687054	2.74E-28	3.47E-26
233547_x_at	PDE1A	-2.22037951	2.84E-28	3.59E-26
203390_s_at	KIF3C	-1.529402898	2.85E-28	3.59E-26
232111_at	TUNAR	-1.365136041	2.97E-28	3.74E-26
205019_s_at	VIPR1	-1.282455781	3.01E-28	3.78E-26
229057_at	SCN2A	-4.094743401	3.10E-28	3.88E-26
223715_at	BRSK2	-1.194949203	3.25E-28	4.07E-26
229648_at	ARHGAP32	-2.126365809	3.61E-28	4.51E-26
210271_at	NEUROD2	-1.504857627	3.64E-28	4.54E-26
225781_at	MAPK9	-1.760154589	3.90E-28	4.85E-26
230287_at	SGSM1	-2.283962873	4.05E-28	5.01E-26
228579_at	KCNQ3	-1.458897222	4.41E-28	5.46E-26
205257_s_at	AMPH	-2.503410197	4.53E-28	5.59E-26
210040_at	SLC12A5	-3.765424497	4.66E-28	5.73E-26
210781_x_at	GRIN1	-1.952748773	4.71E-28	5.78E-26
230117_at	VSTM2A	-3.052337985	4.72E-28	5.78E-26
223621_at	PNMA3	-1.749810165	4.73E-28	5.78E-26
244099_at	CACNG2	-1.363433356	4.87E-28	5.94E-26
